"","baseMean","log2FoldChange","lfcSE","padj","Phylum","Class","Order","Family","Genus","Species","change"
"16da9716b4d7c3c9c904f3f799d67dfe",141.870139009276,25.5446118489307,1.40419466942654,2.7048607162648e-70,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Comamonas","Comamonas testosteroni","Increase"
"945184b6386c192c0066e0a98a154780",245.394428608827,25.1205868350133,1.44335289175831,1.72122098166332e-64,"Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA,"Increase"
"7f9fade6b655a67a8194b53eb9d345e9",168.708200039258,25.7722905518028,1.85946700316215,1.6591453930664e-40,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA,"Increase"
"38c27ceaed634984c1225a82648cf571",42.1967185348784,21.2284795285889,1.7853980228558,1.49984776307094e-29,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Increase"
"ca2dd7d6f85d43f16bde2f9115535597",165.277164025791,25.7569932214713,2.53985086085259,3.26542951679802e-21,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Chromobacteriaceae","Aquitalea",NA,"Increase"
"4bef91248d8c15cbf5b7594247f2905c",51.891867933878,24.1304967482841,2.41136318804925,1.06501370751493e-20,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Chromobacteriaceae","Aquitalea",NA,"Increase"
"d007cee006889a1090c2d5bfb35a1953",108.912392525636,25.1750308107737,2.59462067601443,1.88612123573995e-19,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Chromobacteriaceae","Aquitalea",NA,"Increase"
"eee283d6984c1b32fdba53e16f71a997",62.012816496281,24.3688931271215,2.53117783379432,3.20030154187335e-19,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Chromobacteriaceae",NA,NA,"Increase"
"263aac1fb3f1caea139177af2e6a07b3",17.6389581026377,22.6158660037063,2.3502151822186,3.20030154187335e-19,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA,"Increase"
"92d43275bdbee71a13c1373e48b63fc4",71.3395787736559,24.4317418549099,2.6301325785079,6.99749554640941e-18,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Comamonas",NA,"Increase"
"9b34cf27cc2ce4f884387b72d7cbdf7a",17.6073549932377,22.5490715530219,2.48663869970881,4.95482345690842e-17,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Chromobacteriaceae","Chromobacterium",NA,"Increase"
"a8f4dc7d191848709966aa2ab1b26d3a",13.0995714527161,20.5976267234888,2.33612737009507,4.40891139177011e-16,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Chromobacteriaceae","Chromobacterium","uncultured bacterium","Increase"
"f8d5a05174e530a6625a406014aa213b",23.6843020088636,23.0228574109879,2.7257362864999,1.03927811932874e-14,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA,"Increase"
"e9545cc5d58b98d95f826c8b3a897e78",24.4111614748101,22.9709683988059,2.7292902940665,1.22255451715828e-14,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Increase"
"0437d8007299859b9cef2ab6590ab691",39.4960923607162,23.5624207016315,2.81267261942486,1.43431925036663e-14,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Chromobacteriaceae","Chromobacterium",NA,"Increase"
"55fcef7016326a10d2bc44d69cf8ea38",27.9778918361132,23.2001533384395,2.87911324496523,1.93739558990351e-13,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA,"Increase"
"4d72007c70f4abc0bf9e8fe8b826d07d",26.2800461600393,23.1876518826843,2.90301977829411,3.26337073369115e-13,"Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA,"Increase"
"cff91f92ebadff0ecf455925e3e91b54",9.27508977683102,21.6935376324835,2.73380364914428,4.7249116788847e-13,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA,"Increase"
"620bf7844b0119205fe0648856b643a7",30.3938458389105,22.8161921699902,2.91230555624699,1.00940138033929e-12,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Chromobacteriaceae","Pseudogulbenkiania","uncultured bacterium","Increase"
"c89fb8ad6891ecda2211da358080de9c",84.0418609644939,24.7001546245507,3.1836959296783,1.68372227893392e-12,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Chromobacteriaceae","Aquitalea","Aquitalea magnusonii","Increase"
"e8386d3a307c208c4b9f0a756259cd6b",13.7568908757378,22.2158420183287,2.93885386674504,7.29126865728703e-12,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA,"Increase"
"3d5baff45729bf2214074c2e9f77ad10",4949.91140298164,8.50985070792211,1.13387431152063,9.86421522241673e-12,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA,"Increase"
"84597d1047c19647e95a6e818986372f",13.7205525856048,20.8289723492211,2.78512459259745,1.09001462480415e-11,"Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA,"Increase"
"fb5c2aa7e7a97d1ba29b2c9405cb6a41",12.6504525367337,22.043263146703,3.09701998608384,1.49788277426495e-10,"Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA,"Increase"
"2272c2d8e93e09517e766f1c516f21d9",15.3488201718164,20.9175194730076,2.94545552132463,1.63189521096016e-10,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Increase"
"4019a0db69203ceddd0667b9258beb3a",13.0640980233325,20.6741076672014,3.10288028683459,3.45239460709948e-09,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Increase"
"6b28a65860adf0a7b5330cd12a8edfed",22.6950402417725,22.2555968798494,3.35141520033519,3.90361518351534e-09,"Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas",NA,"Increase"
"7fa1185fcd1ca248e550d48f06cfde69",18.5653493479228,22.5820261431876,3.56142385340716,2.78123578248863e-08,"Verrucomicrobia","Verrucomicrobiae","uncultured","uncultured bacterium","uncultured bacterium","uncultured bacterium","Increase"
"107273e73071282e4d0f4a0b46548da5",385.014437277815,6.15681762311895,1.08321720272281,1.55977848689881e-06,"Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas",NA,"Increase"
"4850a238b7fbbd5ffa204c5a5a396f2c",68.8071014542325,7.74283901388018,1.62411028117144,0.000215292506542519,"Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Hafnia-Obesumbacterium",NA,"Increase"
"5648dccee530d68ceb3e4d7d22cf8756",25.8251467138596,6.71432298077063,1.44223461468138,0.000363595160449386,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Increase"
"f7525a1077cbfd7f5405154b4f9e8999",180.275239509258,8.25523394857732,1.78088838299871,0.000390893499153546,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Chromobacteriaceae","Paludibacterium",NA,"Increase"
"ca8c1cfd11ff0a6977f6772630a85de3",1305.69993084926,5.30061957604272,1.2298969238406,0.00175067528609848,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Chromobacteriaceae","Aquitalea","Aquitalea magnusonii","Increase"
"63afe8e6aac58bf0d670a82ca5bc574c",242.635723120589,4.91202067158104,1.1428563305441,0.00180345064962178,"Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA,"Increase"
"d15bc449222795a9ff230013aa633686",648.025760892407,6.5603440634082,1.55329107648719,0.00245990629471301,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA,"Increase"
"77f8656b1f645a3c2df07cc18f8ddc89",96.2211357762829,6.38168697917575,1.57531164676492,0.00509854412399808,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Chitinibacteraceae","Deefgea","Neisseriaceae bacterium PRE9A","Increase"
"b96d51a88c7963982539cb8864ead8e6",124.776662726398,8.62449527488896,2.14970724344717,0.00589127778094996,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA,"Increase"
"cc761daf51f27c423da57f3f1f0ff5cc",25.8876715979972,7.68607360663421,1.93525567972624,0.00683517821181315,"Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pantoea",NA,"Increase"
"617cf360b182edce2e0f38a88b81a6f7",1483.80905551541,5.64054143466023,1.55224606872238,0.0256485842637341,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Chromobacteriaceae","Aquitalea",NA,"Increase"
"c06ccd1f7d57566ef669942328b1a946",441.936731800677,6.17517898547211,1.77539505163579,0.0454313899585329,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Increase"
"3ebe761bfb1238c87195d431f41bf976",186.232680672519,5.36244696292906,1.5524247545997,0.0486923814225015,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA,"Increase"
"e63442944ac7aeb65adccd73c72c2269",6.51382652939652,-26.0177312762381,3.09340296164202,1.22255451715828e-14,"Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae",NA,NA,"Decrease"
"73d2bd73e2c7645df7808e6bee26daa7",6.09892068781127,-25.9194333295487,3.09263487891924,1.43431925036663e-14,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Filimonas",NA,"Decrease"
"fb5ce3328c56a598d92a7c9779b698a3",6.571611192713,-26.0209246897326,3.33515624129649,1.24626432902079e-12,"Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae",NA,NA,"Decrease"
"01919cc430de1703cfdadbf5f4afcf64",4.8900221594296,-25.6248944239633,3.32469536805098,2.40684948312346e-12,"Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae",NA,NA,"Decrease"
"d348e97c88b1e0fa26512f6c1789936c",4.18453488225812,-25.0172935423653,3.31754777090453,7.77902616869542e-12,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Psychroglaciecola","uncultured bacterium","Decrease"
"0eb3f2ae84e43e79ccf896eb8f4fb495",4.2942924989262,-25.0123449967581,3.31561061400476,7.77902616869542e-12,"Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae",NA,NA,"Decrease"
"508a6558b4f0b607d2066682ad700005",4.06088882206928,-24.8255418187961,3.31049193672589,9.97485698547051e-12,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","AAP99","metagenome","Decrease"
"482f65b152c5702150de2b27ea2c9521",4.06889358977109,-24.8355797066213,3.31478625822581,1.01467300180427e-11,"Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Endobacter","uncultured bacterium","Decrease"
"f6421dfbd16ab420d728d65a8225fe48",3.77250198384064,-24.722929843535,3.31793459416081,1.29971420201164e-11,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","Sulfuritalea",NA,"Decrease"
"b2bb30b74779c4f4e86aed4a22ae2fe2",83.1989606815333,-7.748243471597,2.1059951992658,0.0219398567128901,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia",NA,"Decrease"
