"","baseMean","log2FoldChange","lfcSE","padj","Phylum","Class","Order","Family","Genus","Species","change"
"8735f92a7f18db944bc862777fbd3222",66.7199909512807,24.8899308736645,2.893453508104,3.14063199526375e-14,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA,"Increase"
"06536444176a62069ec8d4cb44754a6e",113.603502661765,25.6395817892859,3.05689285612842,6.76680071738687e-14,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA,"Increase"
"c54c6cac78d65dc2ac76858a7ba00f2e",81.9905780148893,24.9758432457189,3.05691838090906,3.35336310872288e-13,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA,"Increase"
"417ca274db076abe7c823a821896412b",43.6637959910495,24.2959928607711,3.05699901549827,1.72611063575828e-12,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA,"Increase"
"d723db35121fdf9c889e9d3b2916e09a",39.870632726151,24.1708491873479,3.05701540176324,2.05769307665467e-12,"Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","uncultured bacterium","Increase"
"ad4f89ac086d06890f7bbedc16a4a3c6",36.363651249766,24.0480965345456,3.0570336053744,2.48444649921383e-12,"Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae",NA,NA,"Increase"
"c6fe36d74798e3252905c74eb8269026",19.4165977092702,23.170132201139,3.05721424271201,2.11096015320807e-11,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA,"Increase"
"3900133b7309ae4ac3cb95973cd8e1ba",17.9426508661605,22.6475681247141,3.05724612165812,6.99542652349072e-11,"Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides",NA,"Increase"
"3e8b48375e650a90256e35c2955d087b",12.4523332725669,22.537803757392,3.05743102275496,8.35871962038959e-11,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA,"Increase"
"6f8ce922615e51666801b626929e5c2f",10.6161045841772,22.3263663578658,3.05753554771376,1.2866661809317e-10,"Bacteroidetes","Bacteroidia","Bacteroidales","Marinifilaceae","Odoribacter","unidentified","Increase"
"ceb36da1a26eecc6429aa5cefb368a09",8.19488332097456,21.9152211599156,3.05774490434887,3.21040549588164e-10,"Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured",NA,NA,"Increase"
"fb5ce3328c56a598d92a7c9779b698a3",8.58414027767648,-24.3642398837966,2.84709870571735,3.14063199526375e-14,"Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae",NA,NA,"Decrease"
"cf5af8acfd693224a777b719b509d369",6.94328578475209,-24.1141956209817,2.84357788528421,4.08218082525244e-14,"Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae",NA,NA,"Decrease"
