SampleID;Status;LakeOrigin;FinalLake;Individual_ID;Survived
362;CTRL;BL;BL;B1;1
371;CTRL;BL;BL;B10;1
372;TR;LL;BL;B11;1
373;TR;SP;BL;B12;1
374;CTRL;BL;BL;B13;1
375;TR;LL;BL;B14;1
376;TR;SP;BL;B15;0
377;CTRL;BL;BL;B16;1
378;TR;LL;BL;B17;1
379;TR;SP;BL;B18;0
380;CTRL;BL;BL;B19;1
363;TR;LL;BL;B2;1
381;TR;LL;BL;B20;1
382;TR;SP;BL;B21;0
364;TR;SP;BL;B3;1
365;CTRL;BL;BL;B4;1
366;TR;LL;BL;B5;1
368;CTRL;BL;BL;B7;1
369;TR;LL;BL;B8;1
338;CTRL;LL;LL;R1;0
347;CTRL;LL;LL;R10;1
348;TR;SP;LL;R11;1
349;TR;BL;LL;R12;0
350;CTRL;LL;LL;R13;1
351;TR;SP;LL;R14;0
352;TR;BL;LL;R15;1
353;CTRL;LL;LL;R16;1
354;TR;SP;LL;R17;0
355;TR;BL;LL;R18;1
356;CTRL;LL;LL;R19;1
339;TR;SP;LL;R2;1
357;TR;SP;LL;R20;0
358;TR;BL;LL;R21;1
340;TR;BL;LL;R3;0
341;CTRL;LL;LL;R4;1
343;TR;BL;LL;R6;1
344;CTRL;LL;LL;R7;1
345;TR;SP;LL;R8;0
346;TR;BL;LL;R9;1
395;CTRL;SP;SP;S10;1
396;TR;BL;SP;S11;1
397;TR;LL;SP;S12;1
398;CTRL;SP;SP;S13;0
399;TR;BL;SP;S14;1
401;CTRL;SP;SP;S16;0
402;TR;BL;SP;S17;1
403;TR;LL;SP;S18;0
387;TR;BL;SP;S2;1
405;TR;BL;SP;S20;1
406;TR;LL;SP;S21;1
388;TR;LL;SP;S3;1
389;CTRL;SP;SP;S4;0
390;TR;BL;SP;S5;0
391;TR;LL;SP;S6;0
392;CTRL;SP;SP;S7;0
393;TR;BL;SP;S8;1
394;TR;LL;SP;S9;0
