"";"X.SampleID";"Chao1";"se.chao1";"Shannon";"Date";"Individual_ID";"Source";"Species";"Sex";"DevStage";"Phase";"LakeOrigin";"Cage_ID";"is.neg";"Lake_transfer";"LakeOrigin2";"Lake_transfer2";"Raref";"Status";"Total_lenght";"Final_lake";"Transfer"
"1";"338";5;0;1,36385429034924;"D0";"R1";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"LL";"R1";FALSE;"INI";"LL";"INI";"High";"INI";49;"LL";"NOT TR"
"2";"343";14;0;1,38342085555177;"D0";"R6";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"BL";"R6";FALSE;"INI";"BL";"INI";"High";"INI";41;"BL";"NOT TR"
"3";"344";3;0;0,496911884891989;"D0";"R7";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"LL";"R7";FALSE;"INI";"LL";"INI";"High";"INI";51;"LL";"NOT TR"
"4";"346";5;0;0,0633574758229106;"D0";"R9";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"BL";"R9";FALSE;"INI";"BL";"INI";"High";"INI";36;"BL";"NOT TR"
"5";"349";6;0;0,970647156939975;"D0";"R12";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"BL";"R12";FALSE;"INI";"BL";"INI";"High";"INI";44;"BL";"NOT TR"
"6";"351";21;0,162650012158089;2,19924520481777;"D0";"R14";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"SP";"R14";FALSE;"INI";"SP";"INI";"High";"INI";32;"SP";"NOT TR"
"7";"352";19;0,486664263392288;2,01356958142623;"D0";"R15";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"BL";"R15";FALSE;"INI";"BL";"INI";"High";"INI";36;"BL";"NOT TR"
"8";"354";10;0;1,71533177617771;"D0";"R17";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"SP";"R17";FALSE;"INI";"SP";"INI";"High";"INI";30;"SP";"NOT TR"
"9";"355";3;0,408248290463863;0,0894813587950913;"D0";"R18";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"BL";"R18";FALSE;"INI";"BL";"INI";"High";"INI";44;"BL";"NOT TR"
"10";"356";6;0;1,35867779976368;"D0";"R19";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"LL";"R19";FALSE;"INI";"LL";"INI";"High";"INI";56;"LL";"NOT TR"
"11";"357";9;4,41588043316392;0,956915058964701;"D0";"R20";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"SP";"R20";FALSE;"INI";"SP";"INI";"High";"INI";31;"SP";"NOT TR"
"12";"363";6;0;0,180600199754596;"D0";"B2";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"LL";"B2";FALSE;"INI";"LL";"INI";"High";"INI";54;"LL";"NOT TR"
"13";"376";6;0;1,26476611522622;"D0";"B15";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"SP";"B15";FALSE;"INI";"SP";"INI";"High";"INI";32;"SP";"NOT TR"
"14";"380";14;0,481812055829716;1,35134987470961;"D0";"B19";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"BL";"B19";FALSE;"INI";"BL";"INI";"High";"INI";35;"BL";"NOT TR"
"15";"387";10;0;1,65212524662077;"D0";"S2";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"BL";"S2";FALSE;"INI";"BL";"INI";"High";"INI";43;"BL";"NOT TR"
"16";"394";9;0;0,73367239017012;"D0";"S9";"host-associated";"Yellow-spotted";"Unknown";"Larva";"Aquatic";"LL";"S9";FALSE;"INI";"LL";"INI";"High";"INI";52;"LL";"NOT TR"
