SampleID.ini;Chao1.ini;Shannon.ini;Individual_ID;Cage_ID;Total_lenght.ini;SampleID.old;Chao1.old;Shannon.old;LakeOrigin;Lake_transfer;LakeOrigin2;Lake_transfer2;Status.old;Total_lenght.old;Final_lake;Final_status
343;191,666666666667;2,39493375437076;R6;R6;41;475;76;2,27581444682302;BL;LL;BL;LL;TR;43;LL;TR
344;28;0,948750000288643;R7;R7;51;476;251;4,7222344306041;LL;CTRL;CTRL;LL;CTRL;50;LL;NOT TR
346;49;1,83363179293809;R9;R9;36;477;142,571428571429;2,89214496614643;BL;LL;BL;LL;TR;41;LL;TR
352;317,714285714286;3,65780896088603;R15;R15;36;481;99,9090909090909;2,3574859097598;BL;LL;BL;LL;TR;42;LL;TR
355;95,8125;1,68823980844279;R18;R18;44;483;177,555555555556;2,74055562694051;BL;LL;BL;LL;TR;36;LL;TR
356;101,333333333333;2,49473342788916;R19;R19;56;484;578,857142857143;5,4265822215866;LL;CTRL;CTRL;LL;CTRL;58;LL;NOT TR
363;23;1,44218352915495;B2;B2;54;436;222;2,95793771004641;LL;BL;LL;BL;TR;55;BL;TR
380;88,1428571428571;1,32052250616363;B19;B19;35;452;184;4,37247045539006;BL;CTRL;CTRL;BL;CTRL;37;BL;NOT TR
387;57;2,49844062065483;S2;S2;43;455;967,939024390244;5,65575976251384;BL;SP;BL;SP;TR;43;SP;TR
406;548,050847457627;3,96658383439475;S21;S21;50;467;200,538461538462;3,31334618870701;LL;SP;LL;SP;TR;46;SP;TR
339;375,02380952381;3,53020768592813;R2;R2;38;472;121,75;2,30257066443512;SP;LL;SP;LL;TR;37;LL;TR
341;41;2,0970389956757;R4;R4;54;473;604,607142857143;5,49532221335871;LL;CTRL;CTRL;LL;CTRL;51;LL;NOT TR
347;38;1,95976081096085;R10;R10;51;478;938,03;5,60898968267072;LL;CTRL;CTRL;LL;CTRL;51;LL;NOT TR
348;89,1;1,79245465939467;R11;R11;30;479;304,4375;3,90248004691583;SP;LL;SP;LL;TR;30;LL;TR
350;52;2,38079767712588;R13;R13;50;480;206,6;3,07399396821166;LL;CTRL;CTRL;LL;CTRL;50;LL;NOT TR
353;20,25;0,613344690107793;R16;R16;41;482;169;3,14494304771568;LL;CTRL;CTRL;LL;CTRL;41;LL;NOT TR
362;43,5;1,97324407589859;B1;B1;48;435;236;4,25898359744285;BL;CTRL;CTRL;BL;CTRL;49;BL;NOT TR
364;86;2,70126528189176;B3;B3;37;437;180;3,9916056297775;SP;BL;SP;BL;TR;40;BL;TR
365;82;2,38344748562895;B4;B4;42;438;968,2;5,71364137944141;BL;CTRL;CTRL;BL;CTRL;41;BL;NOT TR
366;93;2,84147194304729;B5;B5;48;439;236;4,775558587199;LL;BL;LL;BL;TR;47;BL;TR
368;82,8;1,70803836588968;B7;B7;49;441;651;5,34620330888368;BL;CTRL;CTRL;BL;CTRL;52;BL;NOT TR
369;41;1,72476377105022;B8;B8;59;442;256;4,62451070584686;LL;BL;LL;BL;TR;58;BL;TR
371;73;3,04794681255566;B10;B10;32;444;162,8;2,76896051556833;BL;CTRL;CTRL;BL;CTRL;41;BL;NOT TR
372;46;2,35334900097933;B11;B11;36;445;560,032258064516;4,50646125138929;LL;BL;LL;BL;TR;35;BL;TR
373;55,5;0,716090099362514;B12;B12;32;446;151,5;2,96157668827893;SP;BL;SP;BL;TR;33;BL;TR
374;78;2,88917620421454;B13;B13;39;447;171,111111111111;3,02660604949838;BL;CTRL;CTRL;BL;CTRL;40;BL;NOT TR
375;23,3333333333333;0,749110222697646;B14;B14;56;448;285;5,05143493256551;LL;BL;LL;BL;TR;55;BL;TR
377;59,3333333333333;1,99879040090375;B16;B16;36;449;299;4,89826982036256;BL;CTRL;CTRL;BL;CTRL;36;BL;NOT TR
378;53,6;1,85749921922305;B17;B17;52;450;591;5,74190627772692;LL;BL;LL;BL;TR;50;BL;TR
381;77,4615384615385;1,98584499522059;B20;B20;50;453;139;4,36899193544443;LL;BL;LL;BL;TR;47;BL;TR
388;45;1,92398121430539;S3;S3;58;456;424,666666666667;4,28692422305021;LL;SP;LL;SP;TR;56;SP;TR
393;83,1428571428571;2,73700639262688;S8;S8;41;458;394,92;3,0302078756162;BL;SP;BL;SP;TR;42;SP;TR
395;125;3,26443165444594;S10;S10;37;459;79;2,10744156560331;SP;CTRL;CTRL;SP;CTRL;36;SP;NOT TR
396;95,1111111111111;2,59406776918743;S11;S11;43;460;254,076923076923;2,96322264455089;BL;SP;BL;SP;TR;41;SP;TR
397;36;2,04224899645247;S12;S12;47;461;728,782608695652;5,6350573057986;LL;SP;LL;SP;TR;44;SP;TR
399;57;1,80910017793627;S14;S14;31;462;327,5;3,28104807990515;BL;SP;BL;SP;TR;34;SP;TR
402;53,1666666666667;1,30878148280501;S17;S17;38;464;98,6;2,38267161031894;BL;SP;BL;SP;TR;42;SP;TR
405;91,6666666666667;3,02249889506435;S20;S20;36;466;81,5454545454545;2,83730434206878;BL;SP;BL;SP;TR;38;SP;TR
358;176;4,61596767252766;R21;R21;41;485;543,371428571429;3,66386390026024;BL;LL;BL;LL;TR;41;LL;TR
