X.SampleID;Date;Individual_ID;Source;Species;Sex;DevStage;Phase;LakeOrigin;Cage_ID;is.neg;Lake_transfer;LakeOrigin2;Lake_transfer2;Raref;Status;Total_lenght;Final_lake;Transfer
338;D0;R1;host-associated;Yellow-spotted;Unknown;Larva;Aquatic;LL;R1;FALSE;INI;LL;INI;High;INI;49;LL;NOT TR
343;D0;R6;host-associated;Yellow-spotted;Unknown;Larva;Aquatic;BL;R6;FALSE;INI;BL;INI;High;INI;41;BL;NOT TR
346;D0;R9;host-associated;Yellow-spotted;Unknown;Larva;Aquatic;BL;R9;FALSE;INI;BL;INI;High;INI;36;BL;NOT TR
349;D0;R12;host-associated;Yellow-spotted;Unknown;Larva;Aquatic;BL;R12;FALSE;INI;BL;INI;High;INI;44;BL;NOT TR
351;D0;R14;host-associated;Yellow-spotted;Unknown;Larva;Aquatic;SP;R14;FALSE;INI;SP;INI;High;INI;32;SP;NOT TR
352;D0;R15;host-associated;Yellow-spotted;Unknown;Larva;Aquatic;BL;R15;FALSE;INI;BL;INI;High;INI;36;BL;NOT TR
354;D0;R17;host-associated;Yellow-spotted;Unknown;Larva;Aquatic;SP;R17;FALSE;INI;SP;INI;High;INI;30;SP;NOT TR
355;D0;R18;host-associated;Yellow-spotted;Unknown;Larva;Aquatic;BL;R18;FALSE;INI;BL;INI;High;INI;44;BL;NOT TR
357;D0;R20;host-associated;Yellow-spotted;Unknown;Larva;Aquatic;SP;R20;FALSE;INI;SP;INI;High;INI;31;SP;NOT TR
339;D0;R2;host-associated;Yellow-spotted;Unknown;Larva;Aquatic;SP;R2;FALSE;INI;SP;INI;High;INI;38;SP;NOT TR
340;D0;R3;host-associated;Yellow-spotted;Unknown;Larva;Aquatic;BL;R3;FALSE;INI;BL;INI;High;INI;41;BL;NOT TR
345;D0;R8;host-associated;Yellow-spotted;Unknown;Larva;Aquatic;SP;R8;FALSE;INI;SP;INI;High;INI;30;SP;NOT TR
348;D0;R11;host-associated;Yellow-spotted;Unknown;Larva;Aquatic;SP;R11;FALSE;INI;SP;INI;High;INI;30;SP;NOT TR
358;D0;R21;host-associated;Yellow-spotted;Unknown;Larva;Aquatic;BL;R21;FALSE;INI;BL;INI;Low;INI;41;BL;NOT TR
344;D0;R7;host-associated;Yellow-spotted;Unknown;Larva;Aquatic;LL;R7;FALSE;INI;LL;INI;High;INI;51;LL;NOT TR
363;D0;B2;host-associated;Yellow-spotted;Unknown;Larva;Aquatic;LL;B2;FALSE;INI;LL;INI;High;INI;54;LL;NOT TR
394;D0;S9;host-associated;Yellow-spotted;Unknown;Larva;Aquatic;LL;S9;FALSE;INI;LL;INI;High;INI;52;LL;NOT TR
341;D0;R4;host-associated;Yellow-spotted;Unknown;Larva;Aquatic;LL;R4;FALSE;INI;LL;INI;High;INI;54;LL;NOT TR
347;D0;R10;host-associated;Yellow-spotted;Unknown;Larva;Aquatic;LL;R10;FALSE;INI;LL;INI;High;INI;51;LL;NOT TR
350;D0;R13;host-associated;Yellow-spotted;Unknown;Larva;Aquatic;LL;R13;FALSE;INI;LL;INI;High;INI;50;LL;NOT TR
353;D0;R16;host-associated;Yellow-spotted;Unknown;Larva;Aquatic;LL;R16;FALSE;INI;LL;INI;High;INI;41;LL;NOT TR
366;D0;B5;host-associated;Yellow-spotted;Unknown;Larva;Aquatic;LL;B5;FALSE;INI;LL;INI;High;INI;48;LL;NOT TR
369;D0;B8;host-associated;Yellow-spotted;Unknown;Larva;Aquatic;LL;B8;FALSE;INI;LL;INI;High;INI;59;LL;NOT TR
372;D0;B11;host-associated;Yellow-spotted;Unknown;Larva;Aquatic;LL;B11;FALSE;INI;LL;INI;High;INI;36;LL;NOT TR
375;D0;B14;host-associated;Yellow-spotted;Unknown;Larva;Aquatic;LL;B14;FALSE;INI;LL;INI;High;INI;56;LL;NOT TR
388;D0;S3;host-associated;Yellow-spotted;Unknown;Larva;Aquatic;LL;S3;FALSE;INI;LL;INI;High;INI;58;LL;NOT TR
391;D0;S6;host-associated;Yellow-spotted;Unknown;Larva;Aquatic;LL;S6;FALSE;INI;LL;INI;High;INI;42;LL;NOT TR
397;D0;S12;host-associated;Yellow-spotted;Unknown;Larva;Aquatic;LL;S12;FALSE;INI;LL;INI;High;INI;47;LL;NOT TR
